light-firebrand-137,breezy-donkey-135,serene-dawn-133,dainty-shape-131,gentle-morning-129,flowing-plant-127,fresh-universe-125,magic-sun-123,snowy-butterfly-122,restful-energy-121
3,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0
0,4,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
0,3,0,3,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,7,0,0,0,5,0,0,0
0,0,0,16,0,0,0,0,0,0
0,0,0,6,0,0,0,0,10,0
0,0,3,0,0,0,0,0,0,1
0,13,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,7,0,0
4,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0
0,1,0,6,1,0,0,0,0,0
3,5,10,0,0,2,8,0,0,0
1,21,0,20,0,0,16,0,0,3
0,0,8,9,0,0,1,0,11,0
27,0,0,0,0,0,17,0,0,11
0,0,10,0,6,0,3,0,3,0
5,11,10,8,0,0,10,0,0,0
7,0,0,7,0,0,1,0,0,0
3,4,0,11,0,0,2,0,0,0
7,0,5,7,0,0,0,5,0,0
12,10,7,16,0,0,8,0,0,0
7,2,0,13,0,0,6,13,0,0
2,1,3,15,0,0,0,0,1,0
11,2,4,3,0,0,11,0,3,0
13,13,0,16,1,0,1,13,1,0
0,11,0,21,0,6,1,0,4,10
12,19,16,17,8,0,0,8,0,9
0,0,6,8,5,0,0,4,0,4
3,13,9,13,2,0,6,9,0,8
12,0,6,0,0,0,7,1,4,5
5,4,0,19,4,0,13,0,18,8
15,31,2,23,9,0,9,0,17,2
8,0,2,10,2,0,19,1,18,8
8,7,11,8,8,0,9,6,0,4
8,0,11,0,7,0,0,0,8,6
18,1,10,18,0,0,14,5,0,3
17,10,12,22,0,5,16,9,9,4
17,16,0,17,3,4,3,2,16,5
18,12,7,7,9,0,3,0,20,5
12,0,1,0,13,5,7,8,25,3
17,0,8,20,11,0,17,14,0,8
28,28,14,14,12,0,18,0,21,0
26,5,1,15,11,7,9,3,19,14
21,17,0,7,10,0,32,0,20,4
9,8,12,11,18,17,10,5,9,15
0,7,0,9,21,10,10,16,23,5
36,32,0,16,25,6,18,13,0,0
0,0,18,18,8,11,27,10,13,4
24,20,0,11,11,6,16,0,14,4
0,0,0,8,19,10,10,3,6,0
31,8,0,2,22,11,17,12,15,0
18,23,0,19,22,24,27,8,13,0
24,29,0,1,15,9,33,16,19,4
33,16,0,22,0,0,11,4,0,5
35,8,0,15,8,0,25,0,16,21
26,18,0,21,24,6,21,25,0,3
0,12,0,17,19,10,0,0,20,4
26,18,0,14,26,8,32,0,22,7
30,33,0,15,31,4,0,0,2,7
31,34,7,18,19,16,30,14,0,3
40,25,11,37,30,10,0,20,31,3
20,0,14,22,13,7,27,0,23,4
22,14,16,22,23,14,0,0,25,4
32,11,0,23,33,9,0,13,0,5
32,39,0,18,34,10,24,15,25,3
47,29,6,0,18,9,22,16,25,4
22,32,0,21,32,13,0,0,0,7
43,22,0,19,12,11,0,0,21,5
40,30,0,44,40,9,24,0,19,6
42,0,0,5,40,9,0,18,19,3
34,27,0,0,29,7,27,0,0,4
23,22,0,41,24,18,24,0,0,4
45,13,0,18,48,10,31,0,20,2
49,22,0,22,32,0,21,17,11,0
48,25,0,24,25,10,29,0,0,5
29,25,13,21,24,8,28,0,0,4
44,22,0,0,29,12,29,0,0,4
29,35,0,19,0,9,23,0,0,4
33,28,1,0,28,15,21,0,21,8
47,34,0,36,27,18,27,0,0,7
50,18,0,26,22,5,35,0,13,0
46,28,0,15,28,6,29,0,18,6
32,28,0,30,20,10,17,0,0,4
40,25,0,38,23,14,23,14,0,8
36,28,0,14,24,18,33,10,0,0
38,32,0,30,21,17,26,21,17,5
45,28,0,24,22,10,30,17,18,0
40,0,0,31,22,20,30,14,21,0
29,33,15,30,0,14,28,0,0,0
39,0,15,35,26,20,20,20,20,0
45,24,21,48,0,21,33,18,23,0
40,20,21,39,26,19,30,20,30,0
45,25,24,36,23,0,26,16,24,7
48,27,0,22,20,19,16,14,21,0
30,27,0,28,22,26,29,17,28,0
0,20,12,23,20,22,35,19,33,0
36,19,27,20,22,23,21,18,32,0
38,27,35,22,24,25,25,17,31,0
49,21,61,25,19,21,16,18,34,0
38,18,30,27,22,22,29,15,0,0
45,23,22,27,0,18,35,16,33,0
44,19,39,24,18,42,33,16,35,0
36,18,21,23,19,28,30,17,44,0
0,16,30,27,27,36,29,18,34,0
35,24,0,24,16,40,0,12,38,0
50,24,39,23,18,40,31,20,36,0
50,17,34,26,19,35,15,19,32,0
44,17,26,25,20,46,30,18,28,0
50,20,27,28,15,36,29,24,23,0
41,18,28,31,11,42,25,16,41,0
41,17,25,22,19,54,34,19,0,0
47,16,0,33,16,43,38,18,29,0
0,0,24,25,15,43,31,23,40,0
50,17,33,27,21,56,35,27,29,0
44,16,25,42,15,54,33,28,44,0
0,15,24,37,18,38,34,23,27,0
45,14,28,25,17,57,0,27,34,0
49,20,26,26,20,60,31,0,29,0
50,28,29,0,18,58,37,25,34,0
50,38,27,46,14,52,30,27,0,0
56,24,20,0,17,42,35,32,40,0
58,27,0,0,0,61,19,28,29,0
50,28,23,36,4,46,24,30,44,0
55,28,0,27,0,47,31,31,35,0
59,28,24,29,9,49,0,0,30,0
46,25,23,38,4,45,24,39,49,0
58,31,23,29,6,44,17,49,28,0
48,36,23,35,6,52,26,57,42,0
37,31,23,39,4,51,0,0,42,0
0,34,25,26,5,49,0,45,34,0
46,34,23,27,3,52,11,46,38,0
41,25,23,29,3,54,2,45,32,0
52,31,23,30,5,43,2,41,29,0
43,30,22,35,2,58,1,54,32,0
42,29,25,28,6,49,3,59,0,0
45,31,22,26,3,46,2,0,37,0
44,31,16,21,5,47,1,57,31,0
42,30,24,30,27,49,2,48,37,0
48,34,27,43,4,40,4,48,39,0
53,24,25,31,0,43,41,45,35,0
47,31,26,0,1,44,0,44,43,0
60,31,28,27,6,34,2,37,28,0
52,28,31,33,0,39,3,29,27,0
44,36,33,38,4,40,18,33,26,0
51,32,30,14,3,33,1,33,34,0
44,39,33,44,0,0,0,32,0,0
0,36,39,55,0,32,0,31,27,0
56,27,37,35,3,54,41,26,32,0
45,36,61,52,0,42,17,30,31,0
58,28,46,33,34,40,40,26,31,0
0,34,53,9,25,32,0,0,36,0
41,29,59,40,0,49,0,26,36,0
52,36,41,13,6,43,0,26,20,0
57,23,49,42,5,38,0,26,29,5
46,32,59,14,0,33,29,22,37,0
60,33,57,7,0,45,23,23,30,7
42,43,59,16,34,40,39,23,32,13
56,42,46,13,27,42,16,22,26,13
53,37,49,25,45,25,29,24,29,12
54,37,58,12,0,38,35,25,17,0
41,41,63,6,31,39,0,22,31,16
0,33,57,51,0,32,42,28,30,15
61,52,31,13,22,46,0,22,28,0
48,35,43,0,0,34,0,30,0,0
32,37,33,13,15,40,25,25,26,14
59,38,40,12,0,35,34,28,13,16
51,50,27,13,49,40,0,29,19,0
57,46,62,12,37,39,52,30,24,22
52,50,61,13,28,46,0,29,33,20
52,48,66,13,34,48,43,24,41,21
71,39,42,16,0,49,39,30,35,26
52,46,53,0,34,0,49,18,12,17
49,47,68,55,32,35,34,28,31,23
54,50,68,18,29,40,35,22,33,24
53,42,63,14,42,34,0,18,35,22
50,44,57,14,32,24,51,22,34,35
56,0,35,59,46,27,0,21,40,27
48,57,43,50,39,45,33,16,52,21
62,39,47,53,0,46,0,19,33,39
61,47,51,53,32,39,59,25,0,32
45,41,31,36,39,42,47,15,33,36
48,42,48,0,49,17,0,19,31,38
60,38,50,50,38,9,0,16,48,37
68,42,45,47,0,21,42,18,35,46
62,48,38,48,31,33,0,31,33,53
73,39,27,41,39,39,0,32,48,34
59,51,45,36,31,35,60,31,32,34
0,40,39,48,30,17,35,15,40,33
0,40,0,44,33,13,50,0,13,0
57,43,42,53,28,14,0,16,12,36
34,42,28,53,29,21,0,44,35,55
60,36,40,55,36,16,58,26,12,47
51,43,26,56,30,23,43,17,17,57
61,34,28,57,30,23,0,14,9,44
56,37,50,63,28,14,48,28,30,56
64,61,35,44,37,16,41,32,12,62
0,42,48,46,39,21,45,27,10,50
54,43,40,50,37,20,42,7,30,64
49,42,44,44,27,16,42,5,10,59
60,47,50,47,28,8,53,8,11,41
0,42,37,48,32,9,40,8,0,55
50,39,47,51,24,24,39,4,9,59
61,43,53,45,27,25,41,4,15,57
71,51,0,45,26,21,0,4,12,71
61,0,33,50,25,23,27,8,10,61
49,44,43,45,26,21,42,3,9,59
47,44,51,37,27,17,35,6,8,62
47,49,0,34,29,21,35,4,8,55
52,40,38,39,25,16,0,9,9,72
49,46,43,30,27,22,33,5,10,37
63,29,44,40,28,19,27,17,9,42
52,30,0,42,25,21,27,7,8,67
41,31,35,33,25,18,33,8,9,50
0,33,32,36,24,19,27,13,0,54
76,15,30,36,22,19,25,6,10,53
35,38,28,40,25,19,26,26,9,32
53,38,26,47,22,20,28,34,11,72
46,36,0,32,13,18,26,0,11,57
59,42,28,48,12,21,38,22,10,47
0,39,35,57,13,19,0,0,11,60
54,43,33,38,14,21,24,34,10,67
64,29,0,37,9,19,30,40,12,39
49,34,30,36,10,18,25,17,11,47
62,48,36,38,0,19,26,38,12,60
48,48,46,39,9,24,28,53,0,58
63,30,33,39,8,19,22,0,12,43
57,32,31,36,8,20,24,57,13,43
69,41,35,56,9,23,24,49,12,71
58,34,26,40,11,23,33,38,12,44
49,41,33,44,9,23,21,36,12,30
25,33,38,30,8,22,26,37,14,36
66,45,37,48,9,24,25,37,13,30
53,49,31,29,8,24,20,0,13,38
35,37,32,71,8,26,0,36,13,45
59,39,42,48,10,0,19,29,13,40
50,37,45,48,10,25,29,32,13,34
60,45,42,45,11,33,20,31,13,38
0,34,34,39,10,32,0,28,13,0
51,41,51,58,10,40,24,25,11,50
50,42,33,62,12,33,19,21,15,39
40,49,39,50,10,31,19,0,13,29
61,39,28,66,12,31,22,0,14,39
65,36,53,57,10,49,19,23,13,37
43,48,46,45,12,0,20,21,14,41
54,43,34,51,11,42,20,24,15,26
49,49,39,43,12,26,18,0,13,39
41,34,44,40,13,0,22,20,14,34
64,41,53,34,12,42,19,18,0,27
39,55,39,52,12,33,18,18,13,33
52,39,33,62,11,39,17,16,14,29
43,35,0,59,12,30,20,17,13,29
0,38,45,64,11,0,18,15,14,33
47,36,27,39,13,31,18,0,14,30
50,35,33,60,12,45,0,0,14,31
60,0,26,0,12,41,19,19,14,33
56,52,27,0,15,39,22,16,0,0
0,40,29,55,12,32,21,17,14,0
52,50,39,31,13,34,22,0,14,33
37,39,38,49,13,56,19,17,14,32
45,44,24,57,13,35,21,19,14,27
0,30,38,42,13,0,0,0,14,29
32,40,37,51,13,33,21,0,14,30
61,43,38,46,12,40,19,17,14,27
0,42,36,65,13,43,20,15,14,32
0,45,0,45,14,41,0,18,0,31
51,45,31,0,14,39,19,0,14,27
53,42,28,66,13,38,0,18,14,28
40,47,29,36,13,45,0,17,16,35
36,38,36,57,12,34,20,16,15,30
46,43,34,58,12,32,24,17,15,26
49,46,30,50,13,42,21,17,16,28
47,42,29,54,13,34,24,14,14,27
36,50,31,42,12,40,24,17,15,28
35,42,32,67,12,41,24,18,15,32
45,37,27,56,0,30,25,17,15,26
47,44,36,57,13,39,24,18,15,35
47,39,46,65,13,35,23,0,15,28
48,39,33,73,0,34,0,16,16,33
48,40,27,78,13,35,28,18,15,37
49,42,32,41,12,42,27,17,15,29
61,32,34,66,12,35,34,15,15,30
43,41,32,59,13,48,29,16,17,27
36,34,28,42,12,39,29,17,15,37
31,39,31,54,12,37,29,17,15,31
29,53,50,49,12,41,33,17,14,30
44,0,28,44,12,41,0,16,16,31
34,51,36,34,14,54,33,18,15,23
0,32,28,47,12,41,27,0,15,28
0,36,31,47,13,33,0,17,0,30
0,35,24,48,12,47,0,16,15,28
25,47,39,66,11,39,31,16,15,29
23,51,29,37,13,38,26,17,15,28
22,40,30,45,13,39,31,15,15,26
24,38,29,38,12,37,29,0,15,20
20,35,34,57,7,39,27,17,17,25
21,38,32,43,12,26,26,15,15,23
23,44,26,49,10,25,29,18,15,23
21,37,25,28,13,29,27,15,15,24
16,30,26,54,12,42,24,16,15,23
19,0,26,41,8,37,26,17,15,24
17,35,0,0,11,23,0,0,0,0
0,28,26,46,6,33,30,18,14,22
17,38,24,43,9,25,0,20,16,28
18,33,27,36,8,0,22,18,16,22
15,37,35,40,7,36,25,18,15,23
15,38,24,37,8,28,27,0,16,18
13,34,24,44,9,33,26,19,15,20
13,36,26,37,8,29,31,21,16,22
15,35,25,45,7,27,25,20,16,22
11,40,31,39,9,29,0,20,15,22
12,39,27,27,7,27,30,20,17,0
0,37,31,43,8,25,26,24,26,22
12,42,27,49,8,49,30,22,17,21
12,40,25,42,7,30,29,21,21,22
11,44,0,37,7,27,26,0,20,21
14,38,28,34,8,33,24,27,24,23
12,32,25,58,6,38,26,25,16,0
14,28,23,33,7,29,24,36,20,22
15,34,24,37,8,0,24,38,31,25
14,27,29,34,7,31,24,51,22,24
15,20,27,46,8,36,24,59,31,22
14,0,0,38,9,27,28,0,29,24
15,37,26,46,5,0,21,46,29,23
15,23,43,28,8,42,25,58,37,25
14,11,24,32,5,40,23,51,35,29
19,10,28,39,9,35,25,44,32,24
16,10,25,0,7,27,20,45,47,30
17,11,26,34,8,44,25,40,23,27
18,9,22,30,7,39,23,33,45,30
21,12,28,45,8,43,25,39,34,31
0,10,27,0,5,0,24,29,43,0
20,10,26,36,9,42,23,27,52,27
22,14,27,38,11,41,22,22,55,29
22,9,0,33,10,29,0,0,0,27
25,10,31,30,11,47,24,34,40,27
26,6,29,32,13,35,22,24,29,39
27,12,31,32,10,48,23,22,46,34
29,13,25,36,9,49,25,24,42,30
34,13,29,34,13,35,24,26,38,40
44,15,38,31,13,37,25,23,37,30
41,16,25,30,11,28,25,28,57,31
0,18,0,28,12,0,0,22,36,28
40,17,27,29,13,45,26,26,40,35
41,17,26,30,10,0,26,24,57,39
0,21,0,26,9,49,24,25,38,39
35,25,24,29,15,32,23,21,42,32
46,25,28,36,12,35,28,24,23,38
43,27,23,35,11,34,26,23,44,32
38,29,25,29,14,33,26,23,30,30
45,38,25,29,10,36,29,20,39,35
39,31,27,28,12,51,25,21,22,37
30,24,25,29,14,48,24,23,48,35
0,28,32,28,11,30,31,25,70,41
34,30,31,36,10,37,27,0,31,28
35,30,27,28,16,29,25,29,36,28
36,0,37,23,10,43,28,23,35,34
32,30,0,32,12,29,24,25,47,30
31,31,24,28,15,51,27,18,43,38
28,33,25,30,14,27,0,30,43,31
29,31,38,28,11,30,27,14,50,33
33,34,26,0,11,38,24,28,41,39
29,31,37,25,10,36,28,17,34,31
0,31,38,28,0,0,0,0,37,0
27,34,29,29,11,48,28,14,27,52
27,35,33,36,8,24,0,18,21,31
28,34,30,27,10,33,25,18,57,29
27,24,27,25,10,34,25,19,49,30
30,33,29,26,10,29,28,18,42,34
28,24,27,26,9,31,26,15,44,34
29,32,25,34,10,28,30,25,47,34
29,27,27,35,10,32,27,14,64,31
27,29,32,29,12,32,25,14,55,31
28,33,40,34,9,29,24,15,47,37
28,31,0,32,10,29,26,25,20,42
28,30,29,0,10,28,0,13,22,40
24,0,26,0,9,37,0,20,43,38
32,31,25,24,14,25,27,12,29,36
28,33,27,28,9,26,29,14,40,39
25,28,25,27,9,28,25,16,48,35
32,31,31,31,8,30,29,13,33,39
0,29,27,28,0,22,0,22,0,35
31,27,27,25,9,23,33,14,45,47
26,34,23,28,11,27,26,20,40,35
27,23,32,24,8,20,25,11,39,43
26,27,24,29,9,23,0,0,0,45
