pretty-gorge-49,ethereal-blaze-37,visionary-jazz-36,cool-surf-35,jumping-terrain-34,dutiful-thunder-31,easy-donkey-30,glowing-energy-29,generous-donkey-28,firm-snowflake-23
82.0,86.0,72.0,80.0,74.0,71.0,82.0,80.0,86.0,66.0
87.0,86.0,77.0,72.0,72.0,72.0,84.0,82.0,80.0,71.0
91.0,88.0,83.0,76.0,78.0,73.0,85.0,86.0,84.0,80.0
86.0,91.0,79.0,74.0,81.0,79.0,84.0,82.0,75.0,72.0
85.0,87.0,80.0,87.0,80.0,70.0,81.0,83.0,71.0,79.0
81.0,88.0,81.0,75.0,83.0,67.0,74.0,81.0,81.0,76.0
87.0,87.0,80.0,80.0,70.0,67.0,81.0,82.0,74.0,79.0
83.0,88.0,82.0,64.0,81.0,67.0,72.0,79.0,74.0,76.0
95.0,89.0,75.0,63.0,83.0,74.0,78.0,72.0,75.0,71.0
88.0,84.0,82.0,72.0,75.0,71.0,81.0,87.0,75.0,74.0
86.0,88.0,76.0,71.0,80.0,66.0,89.0,80.0,66.0,74.0
90.0,91.0,78.0,79.0,83.0,72.0,84.0,82.0,75.0,78.0
84.0,88.0,81.0,67.0,73.0,76.0,79.0,80.0,71.0,78.0
91.0,88.0,83.0,67.0,80.0,65.0,78.0,84.0,69.0,77.0
89.0,84.0,81.0,76.0,73.0,75.0,80.0,71.0,71.0,75.0
87.0,89.0,86.0,67.0,75.0,70.0,85.0,84.0,68.0,72.0
87.0,87.0,78.0,75.0,83.0,67.0,82.0,82.0,76.0,76.0
91.0,90.0,81.0,79.0,78.0,83.0,86.0,84.0,75.0,80.0
86.0,88.0,77.0,77.0,79.0,67.0,86.0,77.0,81.0,73.0
87.0,87.0,81.0,80.0,75.0,63.0,68.0,77.0,79.0,80.0
88.0,88.0,83.0,70.0,76.0,67.0,84.0,83.0,85.0,74.0
84.0,87.0,86.0,80.0,81.0,68.0,84.0,84.0,74.0,80.0
86.0,89.0,76.0,76.0,76.0,63.0,79.0,81.0,84.0,80.0
85.0,90.0,83.0,86.0,76.0,74.0,78.0,81.0,82.0,81.0
87.0,84.0,86.0,79.0,81.0,73.0,87.0,85.0,82.0,76.0
86.0,89.0,79.0,86.0,79.0,69.0,80.0,80.0,84.0,74.0
88.0,84.0,85.0,77.0,75.0,73.0,80.0,77.0,73.0,75.0
81.0,80.0,84.0,73.0,78.0,71.0,81.0,79.0,74.0,78.0
80.0,87.0,76.0,82.0,79.0,69.0,85.0,82.0,84.0,76.0
88.0,89.0,82.0,76.0,78.0,75.0,84.0,87.0,82.0,77.0
88.0,84.0,77.0,72.0,75.0,70.0,77.0,80.0,83.0,79.0
85.0,88.0,74.0,81.0,68.0,73.0,79.0,80.0,81.0,75.0
81.0,82.0,72.0,72.0,77.0,67.0,80.0,78.0,85.0,74.0
81.0,92.0,85.0,82.0,80.0,64.0,77.0,83.0,72.0,74.0
89.0,86.0,77.0,73.0,72.0,70.0,85.0,84.0,84.0,72.0
83.0,82.0,74.0,75.0,83.0,74.0,87.0,81.0,82.0,78.0
90.0,90.0,80.0,77.0,75.0,70.0,82.0,82.0,73.0,76.0
87.0,90.0,80.0,81.0,77.0,72.0,85.0,87.0,84.0,76.0
88.0,83.0,73.0,76.0,73.0,73.0,80.0,86.0,81.0,78.0
78.0,83.0,73.0,77.0,72.0,69.0,81.0,82.0,79.0,73.0
93.0,93.0,68.0,74.0,74.0,61.0,89.0,86.0,81.0,73.0
93.0,91.0,71.0,75.0,72.0,70.0,91.0,73.0,79.0,72.0
85.0,84.0,74.0,70.0,82.0,70.0,77.0,76.0,84.0,79.0
89.0,87.0,74.0,79.0,77.0,72.0,86.0,80.0,85.0,79.0
86.0,84.0,73.0,61.0,73.0,66.0,82.0,80.0,76.0,79.0
89.0,79.0,74.0,73.0,74.0,69.0,83.0,82.0,81.0,74.0
80.0,87.0,71.0,77.0,75.0,67.0,72.0,74.0,81.0,74.0
87.0,86.0,76.0,71.0,81.0,80.0,83.0,81.0,83.0,79.0
92.0,84.0,71.0,70.0,74.0,72.0,78.0,80.0,76.0,75.0
89.0,85.0,81.0,80.0,71.0,69.0,87.0,83.0,82.0,77.0
89.0,93.0,82.0,74.0,75.0,72.0,86.0,85.0,79.0,75.0
86.0,86.0,72.0,75.0,81.0,72.0,80.0,84.0,84.0,75.0
88.0,84.0,74.0,77.0,75.0,74.0,81.0,84.0,76.0,79.0
83.0,89.0,68.0,76.0,74.0,63.0,73.0,79.0,77.0,72.0
88.0,88.0,78.0,76.0,75.0,68.0,78.0,76.0,80.0,73.0
85.0,85.0,72.0,81.0,72.0,70.0,81.0,79.0,81.0,73.0
88.0,90.0,82.0,64.0,81.0,73.0,89.0,82.0,79.0,79.0
85.0,83.0,74.0,77.0,66.0,65.0,70.0,76.0,83.0,78.0
89.0,90.0,79.0,80.0,76.0,62.0,76.0,89.0,80.0,78.0
83.0,84.0,75.0,79.0,68.0,69.0,79.0,80.0,77.0,73.0
87.0,83.0,74.0,77.0,76.0,69.0,78.0,79.0,80.0,73.0
92.0,87.0,71.0,71.0,72.0,74.0,78.0,77.0,77.0,75.0
85.0,87.0,77.0,71.0,72.0,65.0,85.0,81.0,73.0,75.0
87.0,89.0,77.0,75.0,78.0,62.0,79.0,82.0,75.0,77.0
88.0,86.0,86.0,74.0,69.0,79.0,83.0,81.0,65.0,79.0
87.0,82.0,83.0,79.0,78.0,77.0,86.0,85.0,63.0,78.0
88.0,89.0,71.0,76.0,77.0,67.0,83.0,87.0,60.0,79.0
87.0,87.0,85.0,71.0,78.0,77.0,83.0,87.0,67.0,78.0
88.0,89.0,77.0,73.0,83.0,72.0,81.0,85.0,61.0,82.0
83.0,85.0,82.0,70.0,75.0,76.0,79.0,79.0,71.0,78.0
84.0,89.0,67.0,65.0,76.0,68.0,75.0,75.0,71.0,77.0
81.0,89.0,74.0,71.0,72.0,73.0,82.0,85.0,67.0,75.0
85.0,86.0,72.0,75.0,82.0,67.0,79.0,77.0,62.0,77.0
85.0,88.0,81.0,71.0,71.0,70.0,83.0,78.0,65.0,71.0
87.0,86.0,83.0,76.0,81.0,73.0,82.0,81.0,68.0,81.0
87.0,89.0,84.0,75.0,75.0,72.0,77.0,78.0,65.0,76.0
88.0,85.0,81.0,73.0,76.0,68.0,83.0,80.0,70.0,77.0
91.0,91.0,82.0,68.0,80.0,70.0,85.0,83.0,72.0,73.0
90.0,88.0,84.0,72.0,78.0,72.0,87.0,83.0,71.0,84.0
90.0,87.0,81.0,72.0,77.0,73.0,78.0,81.0,68.0,75.0
91.0,89.0,82.0,75.0,73.0,78.0,88.0,77.0,74.0,77.0
84.0,85.0,78.0,79.0,76.0,70.0,79.0,78.0,82.0,80.0
86.0,90.0,74.0,77.0,77.0,72.0,75.0,78.0,74.0,83.0
81.0,90.0,83.0,71.0,78.0,75.0,79.0,81.0,80.0,73.0
92.0,89.0,80.0,76.0,74.0,68.0,89.0,86.0,71.0,84.0
84.0,87.0,76.0,73.0,83.0,63.0,81.0,73.0,77.0,77.0
90.0,90.0,81.0,71.0,76.0,75.0,78.0,85.0,75.0,77.0
88.0,88.0,78.0,66.0,78.0,74.0,82.0,81.0,84.0,78.0
93.0,92.0,84.0,72.0,82.0,76.0,84.0,80.0,77.0,79.0
83.0,85.0,70.0,73.0,73.0,67.0,81.0,72.0,72.0,77.0
86.0,89.0,75.0,76.0,80.0,70.0,83.0,86.0,71.0,75.0
82.0,82.0,75.0,74.0,81.0,67.0,79.0,82.0,78.0,75.0
86.0,85.0,77.0,77.0,69.0,72.0,78.0,79.0,72.0,75.0
92.0,85.0,81.0,74.0,81.0,73.0,78.0,77.0,69.0,78.0
89.0,93.0,73.0,80.0,76.0,70.0,77.0,76.0,83.0,71.0
82.0,84.0,82.0,78.0,72.0,68.0,80.0,82.0,73.0,82.0
89.0,85.0,82.0,72.0,73.0,77.0,82.0,77.0,76.0,79.0
86.0,84.0,83.0,75.0,82.0,82.0,82.0,84.0,76.0,83.0
88.0,86.0,78.0,80.0,82.0,66.0,86.0,81.0,78.0,79.0
86.0,82.0,77.0,74.0,81.0,72.0,81.0,82.0,83.0,82.0
89.0,87.0,77.0,72.0,75.0,71.0,75.0,80.0,80.0,78.0
86.0,87.0,85.0,74.0,87.0,70.0,77.0,83.0,78.0,82.0
85.0,90.0,75.0,70.0,83.0,71.0,75.0,83.0,74.0,74.0
81.0,89.0,80.0,72.0,81.0,69.0,87.0,82.0,79.0,80.0
87.0,83.0,79.0,78.0,81.0,63.0,80.0,76.0,77.0,71.0
90.0,90.0,76.0,73.0,75.0,71.0,79.0,87.0,74.0,76.0
85.0,93.0,89.0,72.0,73.0,75.0,81.0,83.0,71.0,78.0
85.0,90.0,81.0,68.0,78.0,70.0,76.0,78.0,75.0,71.0
79.0,91.0,87.0,67.0,84.0,74.0,82.0,71.0,76.0,82.0
84.0,88.0,83.0,66.0,78.0,70.0,83.0,82.0,74.0,76.0
86.0,89.0,77.0,73.0,83.0,65.0,79.0,79.0,81.0,71.0
84.0,83.0,84.0,74.0,74.0,70.0,78.0,82.0,78.0,74.0
85.0,86.0,75.0,74.0,76.0,67.0,84.0,79.0,78.0,75.0
83.0,91.0,87.0,73.0,82.0,69.0,90.0,88.0,81.0,71.0
87.0,90.0,81.0,68.0,75.0,69.0,76.0,75.0,77.0,68.0
90.0,89.0,79.0,72.0,84.0,68.0,86.0,90.0,84.0,77.0
85.0,87.0,77.0,72.0,86.0,74.0,80.0,85.0,75.0,73.0
88.0,91.0,85.0,70.0,79.0,63.0,83.0,87.0,82.0,75.0
87.0,84.0,83.0,75.0,82.0,78.0,83.0,81.0,76.0,66.0
89.0,89.0,85.0,71.0,85.0,73.0,84.0,79.0,81.0,76.0
89.0,88.0,85.0,67.0,81.0,75.0,82.0,84.0,83.0,76.0
86.0,92.0,85.0,70.0,76.0,79.0,78.0,87.0,77.0,77.0
84.0,84.0,82.0,73.0,76.0,67.0,87.0,79.0,75.0,78.0
90.0,93.0,90.0,71.0,83.0,75.0,84.0,84.0,81.0,71.0
85.0,90.0,83.0,77.0,75.0,73.0,80.0,85.0,75.0,73.0
86.0,86.0,84.0,71.0,79.0,70.0,80.0,79.0,78.0,71.0
84.0,85.0,84.0,68.0,83.0,69.0,79.0,77.0,73.0,73.0
86.0,86.0,82.0,70.0,73.0,65.0,79.0,80.0,78.0,68.0
88.0,83.0,82.0,76.0,80.0,74.0,78.0,82.0,74.0,78.0
81.0,88.0,86.0,66.0,76.0,73.0,84.0,80.0,76.0,65.0
89.0,84.0,78.0,75.0,75.0,70.0,81.0,80.0,77.0,71.0
90.0,89.0,88.0,65.0,78.0,75.0,84.0,84.0,75.0,75.0
93.0,92.0,77.0,66.0,74.0,73.0,77.0,78.0,78.0,74.0
81.0,83.0,74.0,74.0,72.0,63.0,78.0,69.0,73.0,59.0
85.0,92.0,81.0,71.0,81.0,66.0,85.0,84.0,81.0,81.0
87.0,85.0,80.0,78.0,81.0,71.0,81.0,80.0,81.0,74.0
86.0,86.0,82.0,70.0,78.0,74.0,83.0,85.0,75.0,79.0
90.0,89.0,90.0,69.0,81.0,79.0,84.0,85.0,79.0,74.0
82.0,79.0,75.0,66.0,70.0,62.0,76.0,77.0,79.0,72.0
80.0,88.0,82.0,69.0,78.0,67.0,79.0,76.0,74.0,75.0
84.0,89.0,80.0,79.0,75.0,80.0,83.0,86.0,72.0,78.0
88.0,88.0,91.0,68.0,79.0,69.0,89.0,87.0,77.0,79.0
86.0,86.0,86.0,66.0,78.0,75.0,79.0,82.0,76.0,73.0
85.0,86.0,80.0,74.0,70.0,69.0,80.0,79.0,71.0,75.0
89.0,87.0,81.0,75.0,79.0,65.0,80.0,79.0,79.0,75.0
86.0,86.0,82.0,70.0,74.0,71.0,77.0,75.0,77.0,73.0
86.0,88.0,82.0,83.0,77.0,64.0,84.0,85.0,80.0,86.0
87.0,93.0,77.0,70.0,76.0,70.0,80.0,82.0,75.0,78.0
84.0,93.0,87.0,64.0,85.0,74.0,86.0,80.0,83.0,77.0
87.0,90.0,91.0,77.0,84.0,70.0,81.0,86.0,78.0,82.0
84.0,88.0,81.0,67.0,72.0,66.0,84.0,82.0,78.0,72.0
85.0,88.0,77.0,71.0,84.0,74.0,86.0,88.0,86.0,76.0
87.0,91.0,86.0,68.0,69.0,66.0,81.0,75.0,75.0,71.0
90.0,87.0,84.0,71.0,78.0,70.0,79.0,79.0,83.0,75.0
82.0,89.0,81.0,66.0,82.0,65.0,75.0,80.0,82.0,72.0
86.0,89.0,84.0,65.0,74.0,72.0,76.0,87.0,78.0,69.0
79.0,84.0,87.0,74.0,77.0,66.0,77.0,84.0,80.0,72.0
88.0,83.0,83.0,71.0,82.0,65.0,73.0,75.0,78.0,74.0
87.0,90.0,81.0,74.0,73.0,73.0,83.0,78.0,76.0,74.0
77.0,89.0,93.0,72.0,78.0,71.0,89.0,86.0,84.0,80.0
80.0,79.0,86.0,71.0,77.0,75.0,78.0,81.0,81.0,73.0
84.0,90.0,84.0,64.0,76.0,73.0,85.0,87.0,87.0,73.0
90.0,87.0,85.0,72.0,74.0,77.0,84.0,82.0,78.0,73.0
82.0,83.0,79.0,71.0,67.0,55.0,70.0,74.0,76.0,78.0
82.0,88.0,82.0,70.0,78.0,60.0,79.0,86.0,80.0,74.0
86.0,83.0,85.0,72.0,77.0,69.0,85.0,84.0,85.0,78.0
85.0,85.0,88.0,68.0,77.0,70.0,85.0,89.0,80.0,71.0
84.0,89.0,85.0,67.0,80.0,73.0,91.0,86.0,76.0,71.0
91.0,91.0,86.0,69.0,81.0,74.0,87.0,88.0,85.0,80.0
86.0,89.0,83.0,56.0,76.0,71.0,81.0,80.0,82.0,68.0
87.0,88.0,81.0,73.0,80.0,64.0,85.0,82.0,83.0,73.0
84.0,87.0,83.0,67.0,71.0,71.0,85.0,83.0,78.0,77.0
88.0,82.0,80.0,68.0,72.0,69.0,78.0,82.0,80.0,74.0
76.0,83.0,81.0,64.0,79.0,68.0,83.0,79.0,83.0,74.0
89.0,86.0,80.0,64.0,68.0,76.0,78.0,81.0,74.0,76.0
91.0,86.0,82.0,64.0,82.0,72.0,89.0,78.0,81.0,70.0
91.0,90.0,81.0,62.0,70.0,74.0,79.0,70.0,76.0,74.0
88.0,86.0,76.0,74.0,80.0,72.0,85.0,83.0,76.0,70.0
78.0,87.0,80.0,71.0,86.0,75.0,82.0,86.0,72.0,75.0
87.0,86.0,83.0,65.0,77.0,76.0,89.0,80.0,75.0,73.0
81.0,83.0,74.0,69.0,73.0,63.0,74.0,75.0,77.0,70.0
86.0,84.0,89.0,67.0,77.0,66.0,78.0,80.0,74.0,75.0
83.0,87.0,80.0,66.0,72.0,77.0,83.0,86.0,73.0,77.0
86.0,87.0,77.0,74.0,68.0,66.0,85.0,81.0,76.0,74.0
87.0,88.0,81.0,72.0,72.0,70.0,84.0,80.0,75.0,72.0
88.0,93.0,82.0,72.0,74.0,70.0,81.0,84.0,78.0,74.0
88.0,93.0,83.0,65.0,83.0,78.0,83.0,87.0,84.0,74.0
84.0,89.0,84.0,68.0,73.0,77.0,77.0,79.0,70.0,69.0
86.0,90.0,82.0,64.0,67.0,58.0,82.0,78.0,70.0,73.0
86.0,89.0,83.0,67.0,86.0,69.0,84.0,85.0,83.0,78.0
81.0,90.0,78.0,63.0,77.0,65.0,83.0,82.0,80.0,72.0
85.0,89.0,83.0,58.0,77.0,70.0,78.0,83.0,74.0,77.0
83.0,88.0,82.0,72.0,78.0,65.0,81.0,85.0,79.0,76.0
88.0,90.0,81.0,72.0,84.0,72.0,71.0,80.0,79.0,74.0
87.0,90.0,84.0,73.0,76.0,79.0,74.0,86.0,82.0,73.0
82.0,84.0,79.0,69.0,81.0,76.0,87.0,80.0,76.0,71.0
87.0,80.0,74.0,69.0,76.0,74.0,84.0,81.0,76.0,68.0
87.0,90.0,78.0,69.0,75.0,71.0,80.0,80.0,74.0,71.0
90.0,91.0,89.0,60.0,76.0,78.0,83.0,91.0,82.0,75.0
