fine-donkey-61,brisk-plant-60,laced-cosmos-59,radiant-glade-58,clear-dragon-57,stilted-vortex-56,driven-bird-55,blooming-valley-54,ancient-microwave-53,stellar-blaze-51
1,2,3,0,0,0,2,1,5,2
0,0,1,4,0,8,4,3,3,4
0,0,0,2,0,0,3,6,9,4
3,0,0,0,0,0,0,0,7,0
5,0,8,8,8,0,7,0,3,1
4,1,17,0,14,0,5,4,5,6
8,1,12,5,8,3,7,0,0,1
11,14,1,2,11,0,11,5,0,2
0,0,2,0,0,10,0,4,0,0
0,0,0,4,0,0,2,1,0,2
10,6,12,1,13,2,9,1,15,0
7,2,7,0,3,1,14,0,0,7
8,0,0,0,9,0,7,11,1,12
3,0,5,6,0,0,8,0,4,5
8,0,10,0,1,0,8,0,6,0
6,7,3,4,0,6,0,3,3,0
9,13,12,9,5,0,5,13,1,0
3,1,5,9,6,14,7,11,0,0
4,2,4,3,9,3,0,3,11,11
3,6,9,14,4,2,0,7,3,4
3,4,0,0,0,9,1,0,2,1
0,0,0,2,5,2,7,0,6,4
18,2,1,0,3,2,1,0,6,12
10,3,7,7,5,0,11,21,0,8
9,15,3,5,1,7,4,12,4,1
6,2,7,18,8,3,0,7,21,25
6,14,9,11,8,7,8,17,11,9
10,17,9,9,1,6,9,24,9,13
5,8,13,16,7,5,19,9,5,7
10,10,24,5,4,8,2,15,11,3
0,15,15,2,8,17,9,7,7,5
14,9,2,33,4,5,9,0,9,27
6,13,18,13,0,17,0,14,21,19
22,4,4,7,6,3,10,11,6,11
1,2,13,15,9,10,6,13,22,15
1,14,2,5,5,5,10,22,4,18
7,18,3,10,9,4,9,10,6,17
7,2,5,4,2,6,2,16,5,11
9,11,12,22,18,26,14,27,22,7
10,9,8,8,14,11,6,28,4,7
9,7,14,12,8,11,5,0,12,3
7,9,8,8,18,3,4,5,10,8
14,24,13,6,13,12,13,20,7,15
28,20,3,22,12,18,28,24,6,23
5,10,2,1,5,7,6,13,6,18
23,7,13,10,22,11,1,35,16,11
21,10,9,13,18,9,7,14,11,22
20,6,6,10,12,0,33,3,7,7
11,25,7,10,9,6,2,8,15,5
17,8,3,18,6,0,18,10,8,17
4,13,15,6,12,0,7,24,21,22
8,7,11,12,6,9,11,6,11,3
6,17,6,10,4,6,17,18,17,28
12,7,10,4,12,29,12,22,14,12
18,2,18,6,13,12,12,32,27,19
19,13,11,15,24,6,14,30,17,22
3,10,1,0,14,9,22,14,9,17
15,16,4,9,2,23,6,18,8,18
20,6,7,12,13,1,20,21,14,13
24,10,13,24,17,24,22,35,20,18
25,10,7,7,17,24,11,33,10,18
8,3,14,7,24,9,13,19,3,16
9,12,12,13,28,11,13,33,12,16
21,15,12,4,22,25,13,16,10,10
29,3,6,7,19,18,15,29,19,22
9,17,14,12,29,30,21,11,9,15
16,13,14,12,32,19,18,26,6,17
12,17,14,11,28,23,21,20,12,35
16,13,10,12,28,43,16,47,16,31
23,9,19,5,32,26,6,42,31,10
13,14,18,5,31,26,7,33,18,21
21,20,15,8,31,12,14,27,12,29
17,3,3,10,12,11,15,35,7,18
18,13,6,11,28,22,14,32,13,24
8,20,13,12,11,29,12,27,4,25
9,8,13,11,22,11,6,22,11,22
12,20,12,16,15,21,25,33,9,21
16,20,32,7,28,37,10,49,12,34
19,9,14,6,21,25,24,22,18,30
30,12,22,9,43,39,11,40,14,34
10,14,11,7,33,21,4,29,4,14
31,6,3,16,15,28,7,33,15,15
15,9,17,14,28,20,37,21,5,30
17,17,13,16,23,34,6,31,25,33
15,14,22,11,38,29,39,36,14,33
31,21,22,6,19,48,13,48,13,35
24,31,12,11,30,24,30,43,8,44
8,12,28,5,28,38,18,23,33,24
4,19,10,5,30,23,15,32,8,38
14,17,14,19,41,36,26,44,18,25
9,11,17,8,31,18,12,56,20,9
25,16,27,5,44,34,45,46,25,37
21,7,39,8,47,30,21,55,12,28
28,24,30,11,6,20,30,39,19,32
22,13,10,8,26,36,25,30,18,42
15,20,30,11,33,17,23,38,14,37
26,11,20,6,56,45,13,31,19,35
23,24,19,6,40,31,32,53,15,35
25,11,7,3,42,25,31,27,7,23
28,15,20,12,33,27,24,43,27,38
11,33,14,10,44,19,32,28,7,24
11,30,14,12,29,31,20,52,12,42
20,16,9,10,28,21,35,36,18,31
16,29,18,15,41,28,24,27,28,34
22,26,15,11,19,28,25,45,34,34
19,18,42,9,35,37,43,50,8,46
15,19,15,11,37,35,29,34,16,44
12,32,23,13,38,38,38,34,20,34
21,9,17,10,35,27,23,41,14,31
23,20,17,10,43,29,37,43,13,29
20,12,16,10,42,24,34,41,29,41
30,32,18,10,43,28,42,52,26,48
23,6,14,12,38,25,40,53,23,33
20,8,17,13,48,37,18,56,23,36
21,16,11,11,45,27,25,50,12,25
21,4,11,8,50,34,33,49,30,43
19,18,20,9,59,29,37,49,21,36
18,10,16,5,30,35,34,55,12,42
20,26,20,7,46,34,37,48,7,40
15,10,15,6,25,28,22,55,25,37
22,15,22,6,37,27,37,45,27,35
16,9,15,7,59,36,27,54,20,42
15,19,12,9,37,34,27,58,23,29
20,21,18,6,32,33,25,36,18,39
30,21,8,9,52,31,28,57,29,48
10,24,29,9,51,43,29,53,27,34
26,19,24,6,55,35,36,57,19,39
27,9,15,9,55,41,36,24,23,40
38,22,25,13,46,27,20,59,23,47
18,2,23,9,54,43,38,54,16,35
22,19,46,9,37,35,33,57,12,39
19,20,26,9,44,26,24,62,30,37
21,8,19,9,38,22,36,74,23,31
28,21,31,7,62,32,35,72,23,38
13,10,23,11,48,35,37,54,23,41
30,21,21,12,49,30,25,54,15,40
27,35,18,8,50,15,33,66,42,36
29,18,18,7,45,34,34,55,10,46
19,24,25,14,47,38,31,62,14,33
18,16,26,12,55,36,36,53,38,37
26,15,38,8,47,33,16,65,33,44
14,10,28,7,43,43,25,57,26,30
33,18,18,8,61,45,37,65,21,42
39,19,21,7,55,39,36,62,28,49
19,35,14,9,53,45,27,58,17,46
22,9,30,9,47,36,31,66,19,45
26,12,25,13,45,40,28,67,21,40
30,11,39,16,50,33,29,60,19,34
17,19,35,12,48,37,28,63,26,40
21,13,26,11,54,40,23,69,27,48
26,28,20,10,56,31,29,67,22,45
33,13,18,7,51,44,37,69,17,44
22,31,24,10,49,47,21,62,24,42
19,9,31,6,61,45,28,62,30,35
31,17,32,9,47,39,31,57,29,50
18,4,32,7,52,45,39,71,21,44
12,10,15,10,61,36,28,63,18,55
21,19,61,12,58,39,32,74,15,39
32,14,26,10,58,48,28,67,26,44
32,7,36,9,58,38,30,68,15,44
26,11,41,9,55,34,28,64,12,60
26,24,49,9,48,50,36,61,22,38
21,13,41,12,51,45,28,64,15,38
31,9,24,9,52,42,23,70,29,42
24,13,42,7,59,39,35,69,18,33
31,15,13,10,53,34,41,75,19,52
23,6,25,11,52,32,24,65,24,52
38,10,20,12,57,41,23,70,20,43
20,16,22,9,51,35,26,75,19,39
25,15,42,7,62,52,39,69,14,49
24,16,47,8,53,39,34,67,23,43
28,13,48,8,55,40,30,69,13,45
26,13,52,6,54,36,34,73,15,47
24,13,46,7,62,35,39,73,19,39
24,27,23,6,52,37,21,74,20,39
26,18,46,8,50,32,35,73,16,41
27,22,44,9,66,49,25,77,18,35
25,9,23,7,47,42,25,71,25,50
35,14,34,8,58,47,29,65,16,33
20,9,52,8,53,39,34,77,18,38
18,10,28,5,63,41,23,72,33,36
23,17,60,8,59,41,32,74,30,47
23,8,50,10,59,46,31,72,29,50
29,21,56,10,52,45,32,76,24,38
29,17,27,7,66,53,25,74,16,48
28,10,52,9,53,43,33,75,29,46
21,16,36,11,63,36,23,75,21,45
22,16,52,10,69,38,28,75,16,31
17,17,24,8,59,45,29,72,32,41
17,20,57,11,59,42,30,76,32,38
22,11,21,12,57,43,36,80,23,42
19,12,47,7,62,45,21,76,23,37
19,7,48,10,60,36,32,75,19,52
33,15,45,9,56,39,39,74,32,48
36,13,45,10,65,42,36,75,31,37
29,12,51,6,60,43,29,64,27,47
20,22,49,9,65,36,31,78,23,39
36,14,43,8,64,43,27,74,29,48
23,15,54,10,60,37,31,74,29,46
19,6,62,8,63,43,34,77,25,39
17,24,58,8,54,40,32,77,26,42
28,20,62,9,70,50,36,72,34,39
27,13,53,14,63,44,31,71,25,35
30,21,44,9,59,49,45,80,31,50
23,25,54,11,65,53,29,76,27,32
31,20,23,10,64,44,39,79,28,45
35,9,48,10,61,41,26,77,34,44
23,17,60,12,56,56,34,81,24,49
26,13,55,9,67,48,33,74,18,40
21,15,58,11,51,41,43,76,31,43
26,36,60,10,72,49,39,78,20,39
23,31,20,12,60,40,27,73,20,45
30,29,49,9,70,44,27,78,34,35
26,17,22,10,73,41,27,71,25,33
28,22,55,9,61,48,33,82,23,54
23,17,30,9,63,41,27,77,16,33
22,21,56,8,65,45,25,82,25,39
25,19,46,10,63,48,37,84,30,40
22,32,51,11,77,58,40,78,19,62
26,16,54,8,62,38,38,77,24,33
23,9,50,7,60,51,39,80,23,45
29,44,26,8,55,41,32,74,26,37
30,28,53,9,59,46,38,77,28,51
27,16,45,9,58,50,33,80,25,38
33,16,44,9,67,53,30,81,27,49
25,29,50,10,56,50,40,73,24,40
31,25,51,7,63,48,42,83,22,52
28,21,52,11,72,43,37,69,29,57
19,20,56,8,57,46,33,76,21,38
26,26,55,10,69,43,34,75,21,46
18,30,41,11,61,48,34,75,15,44
18,20,56,12,65,45,38,74,21,52
27,36,45,8,72,46,33,80,29,50
20,10,49,8,60,42,33,76,22,50
23,27,49,8,65,45,33,73,18,36
36,24,53,12,63,47,35,83,28,45
30,32,29,11,64,50,34,73,24,47
23,30,50,7,60,46,30,73,20,41
31,30,53,10,68,42,33,74,25,48
23,21,48,8,63,42,33,77,25,34
26,15,47,15,64,36,32,71,16,38
24,15,61,12,72,45,30,75,23,35
24,14,44,15,66,37,35,81,29,48
27,11,54,11,70,48,43,70,27,48
24,10,46,15,63,51,32,83,29,60
31,26,52,10,62,41,26,72,24,33
28,12,36,10,69,44,34,67,19,30
36,31,40,10,57,52,35,79,20,55
20,15,52,9,65,45,35,73,23,38
20,11,55,10,72,54,40,71,20,53
25,34,50,10,63,48,31,68,22,40
26,24,53,10,53,50,33,74,15,42
16,19,51,12,61,41,36,72,19,41
35,26,48,10,67,51,35,78,20,51
35,22,27,13,63,43,33,76,22,39
34,13,59,8,66,39,35,83,23,50
28,31,23,6,58,40,30,66,23,36
24,18,65,8,74,39,26,75,22,38
33,34,40,7,60,43,43,78,18,44
23,14,51,16,55,48,42,76,22,38
30,16,57,13,66,46,33,75,23,55
25,21,40,9,61,53,36,74,21,48
19,26,51,9,64,39,36,73,11,33
22,38,26,9,62,40,40,66,23,32
27,18,41,11,59,38,35,78,21,47
27,25,50,9,61,38,32,77,13,37
24,18,45,5,71,49,41,75,30,36
24,18,58,13,65,41,34,65,21,43
22,18,48,8,59,46,34,75,20,32
17,36,28,13,65,47,35,75,16,39
23,9,27,10,63,47,36,78,22,34
29,16,45,9,60,41,31,71,34,63
17,21,57,7,63,46,38,72,19,41
27,24,44,10,66,52,33,77,18,44
18,16,48,7,57,39,31,79,17,31
27,31,49,8,65,49,35,78,22,42
19,31,42,11,64,29,32,76,22,42
25,15,42,9,50,44,40,79,26,49
30,19,29,12,66,42,32,75,27,46
18,18,27,12,63,43,37,75,21,43
28,38,43,10,66,42,30,66,21,50
27,20,41,9,56,37,40,84,25,46
24,14,21,11,63,48,41,71,16,43
25,35,25,10,64,47,31,75,20,43
22,25,53,10,64,36,36,79,24,43
16,17,51,13,57,44,43,76,21,42
23,14,26,9,61,42,38,71,21,63
28,33,45,9,61,44,29,71,22,45
24,17,26,10,69,41,38,72,25,38
26,15,47,9,74,39,34,72,17,36
30,33,20,10,64,43,40,80,31,48
24,27,50,10,59,36,33,72,24,39
27,13,33,11,69,46,37,79,21,43
35,31,49,10,69,40,37,72,25,54
24,35,24,10,60,41,30,74,21,42
23,36,51,7,70,38,39,72,21,40
17,26,21,5,60,44,36,77,20,52
26,18,22,9,65,46,23,78,18,35
22,31,37,8,71,55,39,75,6,48
21,19,45,10,66,46,40,76,23,45
22,21,25,9,58,48,39,77,20,46
17,14,30,11,66,39,45,79,21,46
29,21,23,8,75,45,36,78,25,33
26,9,38,8,63,36,29,74,15,44
30,23,26,11,68,47,41,79,27,48
32,26,20,6,65,49,35,77,21,50
22,22,19,14,60,43,32,67,23,49
27,19,27,15,60,44,33,77,25,49
23,31,42,13,69,36,31,74,22,47
16,12,49,10,63,38,37,77,29,42
27,20,28,10,68,46,25,68,22,40
31,23,26,9,66,42,37,82,29,40
29,17,40,10,60,46,37,73,13,49
25,15,25,12,69,46,30,72,30,49
26,15,28,12,65,46,38,69,32,33
29,17,22,8,58,34,26,77,18,35
24,41,22,6,62,42,44,74,11,44
28,20,30,9,72,46,32,79,22,44
31,30,26,14,65,44,32,73,14,45
25,12,56,10,69,49,31,84,21,50
27,11,45,9,69,34,28,68,26,46
25,21,43,7,70,45,27,69,21,47
19,23,28,11,58,44,30,76,34,29
33,16,24,7,56,46,31,71,22,54
22,19,44,14,56,46,34,72,29,34
26,8,55,13,68,40,26,75,26,51
18,13,39,6,68,36,29,77,29,56
26,25,52,10,68,43,27,77,19,38
14,22,42,9,65,39,35,73,21,52
24,30,49,12,56,38,40,70,16,41
31,20,27,11,66,46,24,70,21,35
27,19,40,10,67,37,34,78,16,47
23,20,47,9,65,35,39,73,21,41
26,25,27,8,55,41,28,76,25,45
25,28,29,12,50,44,39,82,16,50
26,17,47,10,69,53,39,81,15,42
30,23,49,16,63,41,33,75,19,49
23,15,33,10,70,51,47,73,10,38
24,18,17,12,70,48,42,75,20,55
29,21,26,8,61,46,39,78,6,58
25,16,25,8,65,38,42,70,26,41
19,23,21,9,62,39,36,68,23,29
15,20,48,9,79,48,39,77,26,41
21,26,49,11,65,39,32,76,29,40
31,21,23,6,57,39,36,76,19,56
38,14,46,11,62,44,49,77,18,43
24,17,25,7,53,39,26,74,28,51
34,37,49,8,62,49,36,76,19,50
25,24,29,10,63,47,36,67,18,46
21,16,21,9,58,47,36,74,29,48
23,18,37,12,67,48,37,76,19,33
26,25,37,10,61,38,39,74,22,41
21,15,47,13,68,51,37,77,26,53
22,22,57,10,58,40,38,80,29,40
25,28,41,11,69,46,35,75,23,43
28,27,47,9,67,49,36,75,17,37
26,14,22,10,66,40,28,73,22,43
28,20,48,13,61,51,39,84,28,61
30,36,42,10,59,44,37,73,17,40
21,21,48,6,63,38,31,79,28,36
21,31,24,6,57,47,38,72,24,34
29,17,56,8,62,41,38,78,24,45
25,29,41,13,72,47,35,78,26,31
26,18,46,8,61,45,45,81,25,35
28,17,44,11,66,42,41,77,15,50
27,13,48,9,59,40,31,81,22,41
20,20,50,8,64,54,48,75,23,47
28,18,40,12,62,46,39,70,26,45
17,29,22,9,59,40,34,74,16,34
22,26,48,12,64,49,34,81,25,30
26,24,23,10,63,33,36,74,28,51
29,31,21,7,72,46,34,65,30,50
24,11,41,12,73,43,36,76,34,48
27,12,46,6,67,44,41,75,30,38
25,17,51,10,66,41,39,79,24,50
21,13,25,10,58,39,36,72,31,31
21,22,43,8,68,36,38,72,25,48
23,21,49,10,59,41,34,79,26,54
29,24,46,9,70,54,45,70,32,46
24,19,45,9,67,44,43,73,26,39
22,29,45,7,68,41,36,73,27,44
21,14,46,11,58,45,51,68,20,40
26,25,47,8,54,48,37,80,25,39
27,24,28,11,76,43,36,73,31,50
34,13,43,10,57,48,46,79,30,50
30,26,36,7,66,45,38,71,34,37
21,25,57,8,62,36,42,74,35,36
28,20,52,8,66,52,37,74,31,40
22,23,58,10,68,37,40,72,34,32
24,21,51,10,58,39,27,72,26,27
26,17,54,10,68,53,39,78,29,43
23,17,28,10,64,41,31,72,25,33
22,13,23,12,71,45,41,79,25,41
30,22,21,8,66,41,33,74,25,41
42,17,51,9,59,43,39,78,32,51
25,15,47,9,72,44,42,78,34,55
28,19,45,8,63,45,34,78,22,42
17,22,45,11,61,45,34,77,33,44
24,17,51,11,54,45,46,76,28,40
27,27,51,10,60,37,32,72,31,50
